Week,category,value
22/7/18,parl,3
29/7/18,parl,2
5/8/18,parl,7
12/8/18,parl,5
19/8/18,parl,2
26/8/18,parl,5
2/9/18,parl,3
9/9/18,parl,5
16/9/18,parl,3
23/9/18,parl,5
30/9/18,parl,5
7/10/18,parl,2
14/10/18,parl,5
21/10/18,parl,3
28/10/18,parl,3
4/11/18,parl,3
11/11/18,parl,6
18/11/18,parl,5
25/11/18,parl,4
2/12/18,parl,3
9/12/18,parl,3
16/12/18,parl,2
23/12/18,parl,2
30/12/18,parl,3
6/1/19,parl,2
13/1/19,parl,5
20/1/19,parl,2
27/1/19,parl,2
3/2/19,parl,3
10/2/19,parl,7
17/2/19,parl,6
24/2/19,parl,7
3/3/19,parl,8
10/3/19,parl,5
17/3/19,parl,5
24/3/19,parl,4
31/3/19,parl,5
7/4/19,parl,5
14/4/19,parl,4
21/4/19,parl,5
28/4/19,parl,4
5/5/19,parl,4
12/5/19,parl,4
19/5/19,parl,3
26/5/19,parl,3
2/6/19,parl,2
9/6/19,parl,3
16/6/19,parl,2
23/6/19,parl,2
30/6/19,parl,4
7/7/19,parl,4
14/7/19,parl,0
22/7/18,bbt,25
29/7/18,bbt,24
5/8/18,bbt,24
12/8/18,bbt,31
19/8/18,bbt,36
26/8/18,bbt,27
2/9/18,bbt,36
9/9/18,bbt,30
16/9/18,bbt,32
23/9/18,bbt,35
30/9/18,bbt,33
7/10/18,bbt,35
14/10/18,bbt,32
21/10/18,bbt,45
28/10/18,bbt,42
4/11/18,bbt,56
11/11/18,bbt,49
18/11/18,bbt,36
25/11/18,bbt,40
2/12/18,bbt,43
9/12/18,bbt,50
16/12/18,bbt,51
23/12/18,bbt,51
30/12/18,bbt,52
6/1/19,bbt,48
13/1/19,bbt,51
20/1/19,bbt,44
27/1/19,bbt,43
3/2/19,bbt,45
10/2/19,bbt,41
17/2/19,bbt,36
24/2/19,bbt,46
3/3/19,bbt,36
10/3/19,bbt,35
17/3/19,bbt,60
24/3/19,bbt,49
31/3/19,bbt,60
7/4/19,bbt,50
14/4/19,bbt,64
21/4/19,bbt,52
28/4/19,bbt,59
5/5/19,bbt,54
12/5/19,bbt,60
19/5/19,bbt,62
26/5/19,bbt,69
2/6/19,bbt,100
9/6/19,bbt,85
16/6/19,bbt,68
23/6/19,bbt,72
30/6/19,bbt,78
7/7/19,bbt,80
14/7/19,bbt,85